question,answer,label,question_type,split,inferred_modality
does this represent infectious process?,yes,1,binary,train,X-ray
is the vertebro-basilar arterial network viewed in this section?,yes,1,binary,train,X-ray
is this an ap image?,no,0,binary,train,X-ray
is the heart displaced?,no,0,binary,train,X-ray
does the image show pericolonic fat stranding?,yes,1,binary,train,X-ray
is there any inappropriate air collection in subcutaneous tissue?,no,0,binary,train,X-ray
is there evidence of a pneumoperitoneum secondary to a perforation?,yes,1,binary,train,X-ray
is the heart enlarged?,yes,1,binary,train,X-ray
is the aortic knob widened?,no,0,binary,train,X-ray
is the size of the spleen normal?,yes,1,binary,train,X-ray
is the brain tissue ischemic?,yes,1,binary,train,X-ray
do you see fluid in the left lung?,yes,1,binary,train,X-ray
is cardiomegaly shown?,yes,1,binary,train,X-ray
is the occipital lobe present?,no,0,binary,train,X-ray
would you describe the mass as cystic?,yes,1,binary,train,X-ray
is the cardiac silhouette enlarged?,no,0,binary,train,X-ray
was iv contrast given to the patient?,yes,1,binary,train,X-ray
is the heart size abnormal?,yes,1,binary,train,X-ray
is there hemorrhage?,no,0,binary,train,X-ray
is this coronal plane?,yes,1,binary,train,X-ray
is the cortex atrophied?,no,0,binary,train,X-ray
are the liver masses growing around the aorta?,no,0,binary,train,X-ray
does this scan represent an abnormality?,no,0,binary,train,X-ray
is this a chest radiograph?,yes,1,binary,train,X-ray
is there contrast material showing air-fluid levels in the small bowel,yes,1,binary,train,X-ray
does this image display hydrocephalus?,yes,1,binary,train,X-ray
does the patient have a central line placed?,yes,1,binary,train,X-ray
does this image show a normal gallbladder?,no,0,binary,train,X-ray
are adrenal glands present in this image?,no,0,binary,train,X-ray
are gallstones present?,yes,1,binary,train,X-ray
is the right kidney at its normal height in the abdomen?,yes,1,binary,train,X-ray
is a pulmonary mass present?,no,0,binary,train,X-ray
is the right conal fascia inflammed?,yes,1,binary,train,X-ray
is the trachea shifted?,no,0,binary,train,X-ray
is the sigmoid colon visualized at this axial section?,yes,1,binary,train,X-ray
is this image underexposed?,yes,1,binary,train,X-ray
is this image a ct scan?,no,0,binary,train,X-ray
is there evidence of hematoma?,no,0,binary,train,X-ray
is there high signal intensity in the csf?,yes,1,binary,train,X-ray
are the ventricles larger than normal?,yes,1,binary,train,X-ray
